,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Yearly Cost per vCPU,Server Count,,,Server,Purpose,Cores,Type,Cost per year,
,Infra,6.39,3,,,USVGA93489-EKS-D001,AppServer,16,Infra, $102.24 ,
,Premium,61.96,0,,,USVGA93489-EKS-P002,AppServer,16,Infra, $102.24 ,
,Enterprise,124.18,0,,,USVGA93489-EKS-P001,AppServer,16,Infra, $102.24 ,
,,,,,,,,,, $-   ,
,,AppDynamics,3 Servers,48 Cores, Annual Cost: $306.72 ,,,,, $-   ,
,,ThousandEyes,EndPoints,EndPoints, Annual Cost: $357.28 ,,,,, $-   ,
,,,,,,,,,, $-   ,
,,,,, $664.00 ,,,,, $-   ,
,,,,,,,,,, $-   ,
,,,,,,,,,, $-   ,
,,,,,,,,,, $-   ,
,,,,,,,,,, $-   ,
,,,,,,Total,,,, $306.72 ,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Thousand Eyes : 1 URL Cost Estimation,,,,,,,,,
,, Test Frequency,Per year,Per month,,,,,,,
,,30 min, $153.12 , $12.76 ,,,,,,,
,,10 min, $650.76 , $54.23 ,,,,,,,
,,5 min, $842.16 , $70.18 ,,,,,,,
